name,age,gender,maths,science,english,country,year
Student_117,22,Female,17,22,9,Canada,2020
Student_118,27,Female,14,87,41,UK,2018
Student_119,24,Male,79,43,63,Japan,2018
Student_120,27,Female,26,76,20,Japan,2018
Student_121,26,Male,71,21,79,India,2023
Student_122,29,Male,59,42,75,UK,2021
Student_123,24,Male,45,36,65,USA,2017
Student_124,26,Female,88,60,40,India,2017
Student_125,25,Female,16,96,23,India,2020
Student_126,29,Female,92,55,34,Canada,2020
Student_127,19,Male,52,2,55,Canada,2018
Student_128,18,Male,7,62,29,Canada,2023
Student_129,24,Male,78,18,56,India,2018
Student_130,24,Male,26,22,93,USA,2023
Student_131,25,Male,45,28,46,Japan,2018
Student_132,22,Male,49,29,34,Canada,2016
Student_133,20,Female,70,38,18,USA,2016
Student_134,29,Female,2,24,7,UK,2019
Student_135,25,Female,92,7,25,Canada,2018
Student_136,23,Female,63,57,70,Japan,2021
Student_137,28,Male,43,15,29,UK,2019
Student_138,20,Male,52,71,6,UK,2020
Student_139,18,Female,23,0,66,Japan,2024
Student_140,20,Male,59,4,64,Canada,2018
Student_141,22,Female,2,2,35,India,2016
Student_142,20,Female,19,64,24,Japan,2024
Student_143,18,Female,45,3,36,Japan,2023
Student_144,22,Male,14,98,0,Japan,2024
Student_145,27,Female,24,95,14,UK,2021
Student_146,24,Female,93,63,36,USA,2018
Student_147,24,Female,77,97,12,India,2017
Student_148,28,Male,70,88,7,Canada,2024
Student_149,26,Male,16,9,4,Canada,2017
Student_150,27,Female,83,20,59,USA,2023
Student_151,27,Male,99,45,72,Japan,2019
Student_152,29,Male,8,90,0,India,2017
Student_153,20,Male,37,26,35,Canada,2019
Student_154,24,Male,47,65,34,Canada,2016
Student_155,18,Male,59,40,65,Japan,2018
Student_156,21,Male,62,12,62,USA,2024
Student_157,21,Male,85,8,22,India,2016
Student_158,22,Male,1,35,8,USA,2016
Student_159,24,Male,87,85,33,USA,2022
Student_160,24,Male,71,89,45,India,2015
Student_161,28,Female,10,57,77,India,2021
Student_162,21,Female,63,53,3,Canada,2019
Student_163,24,Male,76,11,29,Canada,2022
Student_164,28,Female,80,80,94,India,2015
Student_165,20,Female,71,77,74,UK,2021
Student_166,23,Male,20,13,98,Canada,2019
Student_167,29,Male,17,33,71,UK,2018
Student_168,19,Male,93,52,2,India,2021
Student_169,27,Female,63,19,13,Canada,2024
Student_170,26,Female,81,74,59,USA,2016
Student_171,22,Male,94,15,76,India,2015
Student_172,23,Male,37,94,44,Japan,2015
Student_173,29,Male,31,69,95,UK,2015
Student_174,29,Female,10,55,33,India,2019
Student_175,29,Female,44,82,44,India,2024
Student_176,29,Female,88,57,60,Canada,2021
Student_177,21,Female,32,3,82,Canada,2016
Student_178,28,Male,40,3,15,Canada,2024
Student_179,27,Male,7,19,65,Japan,2022
Student_180,24,Male,10,9,39,Canada,2018
Student_181,29,Male,85,23,16,India,2017
Student_182,26,Female,50,98,33,Canada,2024
Student_183,24,Female,87,25,15,USA,2022
Student_184,18,Male,40,36,59,Canada,2016
Student_185,18,Male,16,84,65,Japan,2017
Student_186,26,Female,75,53,65,USA,2017
Student_187,28,Male,45,20,89,India,2024
Student_188,26,Female,31,73,12,India,2015
Student_189,21,Male,78,37,55,UK,2020
Student_190,26,Male,79,45,30,USA,2016
Student_191,20,Male,53,3,33,UK,2015
Student_192,24,Male,85,59,38,USA,2016
Student_193,23,Male,91,56,66,USA,2020
Student_194,25,Male,19,44,7,Japan,2018
Student_195,28,Male,32,19,86,UK,2020
Student_196,26,Female,73,16,77,Japan,2023
Student_197,22,Female,39,70,54,USA,2024
Student_198,18,Female,31,3,26,India,2024
Student_199,20,Female,96,92,92,USA,2022
Student_200,27,Female,1,13,52,Japan,2015
Student_201,29,Male,96,2,38,UK,2022
Student_202,25,Male,32,87,64,UK,2023
Student_203,28,Female,76,79,16,Japan,2020
Student_204,23,Male,29,57,29,UK,2024
Student_205,25,Female,32,54,52,Canada,2019
Student_206,26,Female,76,3,12,India,2020
Student_207,21,Male,25,23,20,India,2020
Student_208,18,Male,21,33,18,India,2023
Student_209,18,Male,65,29,52,UK,2018
Student_210,27,Female,37,81,18,UK,2016
Student_211,21,Male,89,18,56,USA,2023
Student_212,29,Female,45,30,24,USA,2016
Student_213,24,Female,14,59,85,India,2024
Student_214,19,Female,97,59,30,Canada,2023
Student_215,20,Male,43,18,80,USA,2016
Student_216,18,Male,48,48,54,USA,2022
Student_217,22,Female,74,62,22,UK,2023
Student_218,18,Male,60,82,31,Canada,2024
Student_219,25,Male,66,21,61,India,2023
Student_220,18,Male,5,23,73,USA,2024
Student_221,28,Female,8,75,9,Canada,2023
Student_222,18,Female,5,29,99,Canada,2016
Student_223,19,Male,72,57,71,India,2018
Student_224,19,Female,94,30,53,Canada,2021
Student_225,29,Male,31,99,51,Canada,2016
Student_226,23,Male,40,63,19,Canada,2015
Student_227,24,Male,75,18,31,USA,2017
Student_228,22,Male,7,47,13,India,2018
Student_229,18,Female,71,44,49,Canada,2022
Student_230,18,Female,49,99,27,Canada,2020
Student_231,20,Female,91,93,52,USA,2016
Student_232,19,Male,61,54,23,India,2023
Student_233,22,Male,83,54,78,UK,2016
Student_234,29,Male,61,96,21,USA,2019
Student_235,27,Female,6,17,29,India,2018
Student_236,23,Male,74,62,62,Canada,2021
Student_237,24,Female,83,91,3,India,2022
Student_238,21,Female,79,46,76,India,2019
Student_239,24,Female,3,74,58,India,2024
Student_240,28,Female,5,56,86,UK,2019
Student_241,25,Female,57,44,7,India,2016
Student_242,28,Female,21,32,81,UK,2022
Student_243,18,Male,25,16,11,Canada,2016
Student_244,23,Male,2,69,30,UK,2024
Student_245,25,Female,40,3,77,Canada,2020
Student_246,22,Female,59,19,33,Canada,2022
Student_247,21,Male,13,46,81,UK,2020
Student_248,19,Female,74,90,97,USA,2018
Student_249,23,Female,81,14,74,Japan,2018
Student_250,23,Male,11,69,75,India,2020
Student_251,28,Female,86,46,48,Japan,2018
Student_252,18,Female,11,77,78,India,2022
Student_253,26,Female,12,74,56,India,2023
Student_254,29,Male,24,8,94,Canada,2015
Student_255,28,Male,44,89,92,India,2018
Student_256,23,Male,18,15,25,India,2018
Student_257,20,Female,54,68,17,UK,2016
Student_258,21,Female,99,60,95,Japan,2020
Student_259,29,Male,44,9,85,UK,2017
Student_260,28,Female,7,49,37,India,2021
Student_261,21,Female,92,2,80,Canada,2019
Student_262,20,Female,52,76,86,UK,2018
Student_263,27,Female,54,93,87,UK,2019
Student_264,20,Female,31,69,49,USA,2022
Student_265,20,Male,50,80,7,India,2017
Student_266,21,Female,43,50,40,Canada,2021
Student_267,24,Male,81,18,5,UK,2020
Student_268,21,Female,69,41,68,UK,2015
Student_269,26,Male,17,34,43,Canada,2021
Student_270,18,Female,82,45,63,India,2021
Student_271,25,Male,21,25,28,USA,2015
Student_272,24,Female,36,68,27,UK,2023
Student_273,19,Male,95,92,10,USA,2020
Student_274,25,Female,55,63,64,Japan,2016
Student_275,18,Male,58,36,18,India,2019
Student_276,28,Female,2,83,8,Japan,2018
Student_277,29,Male,27,48,26,Japan,2021
Student_278,26,Male,73,20,33,Japan,2022
Student_279,26,Female,34,73,43,India,2015
Student_280,19,Female,60,63,67,India,2019
Student_281,24,Male,92,4,99,Canada,2017
Student_282,27,Female,53,99,81,USA,2015
Student_283,20,Male,62,69,14,USA,2017
Student_284,24,Male,78,89,50,Canada,2020
Student_285,29,Male,96,3,12,Canada,2021
Student_286,27,Female,6,38,82,Japan,2022
Student_287,26,Male,75,34,48,Canada,2018
Student_288,21,Male,48,0,69,UK,2017
Student_289,29,Female,93,23,55,USA,2019
Student_290,18,Female,84,56,75,Canada,2023
Student_291,19,Female,30,99,50,UK,2020
Student_292,18,Female,57,69,36,UK,2023
Student_293,29,Male,60,40,16,UK,2020
Student_294,22,Male,23,53,57,UK,2016
Student_295,22,Male,19,45,86,Japan,2019
Student_296,28,Male,36,59,89,UK,2023
Student_297,24,Female,3,59,28,Japan,2022
Student_298,26,Male,91,56,32,Japan,2021
Student_299,26,Male,19,30,59,UK,2015
Student_300,20,Female,59,83,90,USA,2018
Student_301,20,Male,23,23,88,UK,2021
Student_302,20,Male,49,88,54,UK,2021
Student_303,21,Male,48,35,9,UK,2020
Student_304,25,Male,50,84,46,USA,2022
Student_305,23,Male,95,29,22,India,2020
Student_306,25,Male,35,23,84,India,2024
Student_307,18,Female,97,29,20,Japan,2017
Student_308,25,Female,99,85,12,Japan,2018
Student_309,21,Male,65,91,32,USA,2017
Student_310,28,Male,78,6,23,Canada,2015
Student_311,18,Female,33,34,10,India,2024
Student_312,25,Male,35,54,16,Japan,2019
Student_313,21,Male,5,91,67,India,2015
Student_314,23,Male,38,13,46,USA,2015
Student_315,25,Female,41,9,24,USA,2016
Student_316,21,Male,57,79,93,Canada,2018
Student_317,20,Female,11,15,72,Canada,2020
Student_318,26,Male,2,53,20,USA,2022
Student_319,20,Female,17,94,83,Japan,2017
Student_320,26,Female,39,88,82,India,2015
Student_321,19,Male,20,76,82,UK,2017
Student_322,19,Female,14,69,11,Canada,2017
Student_323,19,Male,96,43,36,UK,2019
Student_324,23,Female,98,72,41,Japan,2018
Student_325,20,Male,25,44,16,Canada,2018
Student_326,26,Male,7,99,47,UK,2023
Student_327,21,Female,99,55,27,Japan,2021
Student_328,18,Male,93,83,40,India,2018
Student_329,21,Male,86,81,98,Japan,2017
Student_330,18,Female,41,56,46,Canada,2020
Student_331,22,Male,43,20,17,USA,2017
Student_332,21,Male,13,67,77,India,2020
Student_333,25,Female,77,49,98,UK,2023
Student_334,25,Female,1,32,70,Canada,2020
Student_335,24,Male,36,90,12,USA,2018
Student_336,20,Male,68,6,81,Japan,2019
Student_337,18,Female,37,69,12,USA,2020
Student_338,18,Female,40,14,99,Canada,2017
Student_339,29,Male,61,81,30,Canada,2022
Student_340,28,Female,59,31,1,USA,2018
Student_341,20,Male,13,74,15,Japan,2022
Student_342,23,Male,88,19,8,USA,2024
Student_343,24,Male,83,87,72,Canada,2024
Student_344,23,Male,1,14,37,Canada,2017
Student_345,23,Male,69,47,74,UK,2024
Student_346,23,Female,16,70,53,UK,2021
Student_347,20,Female,88,20,55,India,2023
Student_348,23,Female,27,41,85,Canada,2018
Student_349,25,Female,65,25,96,UK,2022
Student_350,28,Male,34,13,99,USA,2017
Student_351,28,Male,4,56,86,Japan,2021
Student_352,19,Male,64,36,44,USA,2017
Student_353,22,Male,39,57,33,Japan,2021
Student_354,18,Female,75,20,8,UK,2024
Student_355,29,Male,55,81,87,India,2024
Student_356,18,Male,35,68,7,USA,2020
Student_357,22,Female,44,2,6,USA,2016
Student_358,29,Female,22,86,35,USA,2017
Student_359,20,Female,46,89,17,Japan,2020
Student_360,21,Female,30,36,2,UK,2018
Student_361,20,Male,10,87,27,USA,2020
Student_362,18,Male,9,48,69,USA,2015
Student_363,18,Female,66,18,43,India,2024
Student_364,29,Male,13,88,20,India,2015
Student_365,29,Male,79,84,27,UK,2017
Student_366,22,Male,73,11,53,UK,2022
Student_367,23,Female,92,60,53,Canada,2022
Student_368,20,Male,9,40,64,India,2018
Student_369,29,Female,75,32,99,Canada,2020
Student_370,26,Male,93,49,20,Japan,2022
Student_371,22,Male,0,67,98,Canada,2021
Student_372,25,Male,4,70,12,USA,2021
Student_373,18,Female,19,85,56,Canada,2018
Student_374,22,Male,7,32,48,UK,2023
Student_375,20,Female,42,80,53,Japan,2024
Student_376,29,Female,75,23,9,USA,2020
Student_377,18,Female,0,60,52,Canada,2017
Student_378,21,Male,56,60,43,Japan,2019
Student_379,22,Male,63,97,46,Japan,2019
Student_380,24,Male,83,27,52,USA,2019
Student_381,18,Male,27,57,73,Canada,2022
Student_382,20,Female,36,42,45,Japan,2023
Student_383,19,Female,46,40,12,Japan,2023
Student_384,26,Female,75,38,36,India,2020
Student_385,27,Male,36,85,23,Japan,2020
Student_386,23,Female,48,48,1,India,2023
Student_387,27,Male,43,16,85,Canada,2018
Student_388,20,Female,55,97,80,Canada,2020
Student_389,25,Male,27,69,99,Canada,2018
Student_390,25,Male,78,69,13,UK,2015
Student_391,19,Female,5,97,9,Canada,2021
Student_392,23,Female,60,64,34,Japan,2024
Student_393,24,Female,19,73,24,USA,2020
Student_394,19,Female,77,84,2,India,2023
Student_395,28,Male,1,4,16,UK,2021
Student_396,27,Female,72,1,11,Canada,2021
Student_397,19,Female,36,21,53,Canada,2016
Student_398,27,Female,19,56,23,USA,2023
Student_399,18,Male,25,65,28,USA,2024
Student_400,25,Male,28,73,42,UK,2023
Student_401,18,Female,0,97,24,India,2020
Student_402,26,Male,34,15,99,Canada,2017
Student_403,28,Female,69,50,59,UK,2015
Student_404,23,Male,58,38,89,Japan,2018
Student_405,24,Male,68,85,64,Japan,2017
Student_406,27,Male,32,75,83,UK,2015
Student_407,24,Male,50,87,27,Canada,2017
Student_408,27,Female,77,39,15,UK,2018
Student_409,20,Female,11,37,46,Canada,2022
Student_410,19,Female,19,59,80,USA,2023
Student_411,26,Male,52,58,91,UK,2017
Student_412,25,Female,87,9,57,Canada,2020
Student_413,29,Female,42,98,75,UK,2024
Student_414,27,Female,97,63,26,UK,2019
Student_415,24,Male,88,62,52,Canada,2020
Student_416,26,Male,49,48,41,Canada,2018
Student_417,21,Male,28,63,58,India,2024
Student_418,21,Female,56,31,46,UK,2020
Student_419,18,Female,38,6,93,Japan,2021
Student_420,25,Female,94,20,33,UK,2023
Student_421,29,Male,55,19,36,UK,2024
Student_422,20,Male,42,25,5,Canada,2021
Student_423,24,Female,49,67,6,UK,2020
Student_424,29,Male,22,85,95,UK,2015
Student_425,19,Male,43,14,95,Japan,2016
Student_426,19,Male,37,84,24,Canada,2015
Student_427,24,Male,83,78,32,UK,2023
Student_428,23,Female,22,85,54,USA,2024
Student_429,20,Male,44,91,57,India,2024
Student_430,26,Male,51,13,6,Japan,2023
Student_431,27,Male,79,26,56,UK,2021
Student_432,23,Male,49,39,11,USA,2016
Student_433,27,Female,7,57,15,UK,2020
Student_434,27,Female,84,27,79,UK,2018
Student_435,23,Male,0,25,42,Canada,2015
Student_436,18,Male,7,62,99,Canada,2015
Student_437,21,Male,28,65,76,Canada,2019
Student_438,27,Male,95,24,6,USA,2016
Student_439,23,Male,4,2,99,UK,2018
Student_440,23,Male,85,71,50,India,2015
Student_441,28,Female,46,43,72,Japan,2018
Student_442,29,Male,33,96,31,Canada,2020
Student_443,22,Female,64,41,74,Canada,2024
Student_444,18,Female,54,98,7,UK,2018
Student_445,25,Male,89,5,96,UK,2015
Student_446,22,Female,42,38,86,USA,2021
Student_447,29,Female,73,51,88,USA,2016
Student_448,29,Female,29,22,71,Canada,2023
Student_449,29,Female,81,88,44,UK,2017
Student_450,22,Female,16,49,85,India,2022
Student_451,24,Female,25,42,58,Japan,2022
Student_452,21,Male,7,18,3,UK,2017
Student_453,23,Female,46,68,66,UK,2018
Student_454,21,Female,75,50,28,USA,2016
Student_455,20,Female,90,10,28,Japan,2018
Student_456,24,Male,71,11,97,Canada,2023
Student_457,25,Female,88,73,97,UK,2016
Student_458,21,Male,45,7,27,Canada,2017
Student_459,19,Female,67,23,76,UK,2018
Student_460,29,Male,32,91,78,Canada,2019
Student_461,27,Male,0,40,86,Japan,2015
Student_462,20,Female,18,35,43,USA,2021
Student_463,18,Female,30,84,89,Japan,2024
Student_464,25,Male,79,71,3,India,2021
Student_465,20,Female,13,54,89,USA,2023
Student_466,29,Male,52,8,8,Japan,2018
Student_467,27,Male,47,46,4,India,2020
Student_468,24,Male,68,14,55,UK,2016
Student_469,27,Male,89,47,95,UK,2018
Student_470,22,Male,61,81,83,Canada,2016
Student_471,27,Female,91,41,49,USA,2024
Student_472,22,Male,65,59,74,UK,2019
Student_473,24,Male,63,83,14,USA,2021
Student_474,26,Female,69,69,31,UK,2015
Student_475,29,Male,62,11,27,Canada,2024
Student_476,22,Female,72,1,21,Japan,2024
Student_477,18,Female,32,6,16,Canada,2021
Student_478,27,Female,40,79,58,India,2024
Student_479,27,Male,88,2,89,UK,2020
Student_480,18,Male,47,2,70,India,2020
Student_481,19,Male,12,26,56,India,2022
Student_482,23,Female,72,39,25,USA,2022
Student_483,26,Male,76,32,24,UK,2020
Student_484,25,Female,30,91,9,India,2017
Student_485,22,Male,74,0,44,Japan,2019
Student_486,18,Female,67,7,82,India,2016
Student_487,24,Male,97,31,10,Japan,2019
Student_488,22,Male,3,47,76,USA,2023
Student_489,23,Male,18,3,52,India,2024
Student_490,24,Female,69,93,71,Canada,2015
Student_491,20,Female,97,69,67,USA,2024
Student_492,29,Male,81,18,94,Japan,2019
Student_493,27,Male,12,31,27,USA,2020
Student_494,20,Female,22,8,74,India,2021
Student_495,22,Female,82,11,64,UK,2023
Student_496,23,Female,74,10,48,UK,2020
Student_497,26,Male,0,45,46,Japan,2019
Student_498,29,Female,87,15,51,Japan,2021
Student_499,22,Male,53,0,87,UK,2015
Student_500,18,Female,70,62,53,Japan,2019
Student_501,21,Male,88,20,59,USA,2016
Student_502,22,Female,84,29,56,Canada,2018
Student_503,29,Female,14,12,46,Canada,2021
Student_504,27,Female,64,33,30,USA,2019
Student_505,27,Female,75,3,45,Canada,2020
Student_506,22,Female,70,27,25,India,2016
Student_507,24,Male,14,94,4,USA,2017
Student_508,21,Female,20,58,83,Japan,2021
Student_509,18,Female,18,26,51,USA,2016
Student_510,22,Female,59,68,74,UK,2020
Student_511,24,Male,92,24,53,Japan,2019
Student_512,27,Female,88,2,32,UK,2024
Student_513,27,Male,32,96,49,Japan,2015
Student_514,23,Female,48,67,37,Canada,2024
Student_515,22,Female,95,24,26,USA,2018
Student_516,21,Male,34,19,97,India,2016
Student_517,19,Female,43,33,14,Japan,2018
Student_518,21,Male,89,25,95,Japan,2015
Student_519,27,Male,10,4,60,UK,2016
Student_520,27,Female,98,98,20,Canada,2022
Student_521,20,Male,71,60,45,UK,2020
Student_522,27,Female,77,91,68,UK,2016
Student_523,18,Female,73,92,5,Canada,2020
Student_524,25,Male,65,8,37,India,2024
Student_525,22,Male,45,49,61,UK,2023
Student_526,21,Male,8,5,85,UK,2021
Student_527,25,Male,2,82,61,Japan,2023
Student_528,24,Female,84,59,81,Canada,2019
Student_529,19,Female,25,43,77,USA,2021
Student_530,18,Male,71,10,73,India,2021
Student_531,29,Female,47,65,45,India,2017
Student_532,28,Female,65,46,12,Canada,2021
Student_533,21,Female,69,72,94,Japan,2015
Student_534,25,Female,27,84,93,Japan,2023
Student_535,29,Male,92,87,2,Canada,2024
Student_536,19,Male,25,97,93,Japan,2020
Student_537,20,Female,24,85,5,India,2019
Student_538,29,Male,11,2,92,India,2021
Student_539,18,Male,4,75,7,USA,2019
Student_540,18,Male,97,91,43,Canada,2024
Student_541,20,Female,47,29,32,UK,2019
Student_542,28,Female,36,89,80,UK,2024
Student_543,22,Female,78,20,74,USA,2021
Student_544,29,Male,43,27,76,USA,2024
Student_545,20,Female,99,89,49,Japan,2021
Student_546,18,Female,14,61,10,USA,2017
Student_547,18,Male,42,32,94,USA,2017
Student_548,25,Female,47,84,27,UK,2024
Student_549,27,Female,86,34,69,Japan,2017
Student_550,28,Male,69,51,40,USA,2020
Student_551,29,Male,45,33,15,USA,2020
Student_552,29,Male,42,40,67,Japan,2017
Student_553,19,Female,20,50,98,Canada,2017
Student_554,20,Female,22,46,47,Japan,2022
Student_555,19,Female,79,81,55,UK,2022
Student_556,20,Male,46,57,63,Canada,2021
Student_557,24,Male,14,74,58,India,2024
Student_558,18,Female,24,56,89,Japan,2018
Student_559,27,Female,35,22,61,UK,2018
Student_560,25,Male,74,47,75,Canada,2017
Student_561,27,Male,50,21,10,Japan,2019
Student_562,27,Male,14,16,88,USA,2017
Student_563,27,Male,67,68,17,Japan,2022
Student_564,19,Female,20,10,18,India,2021
Student_565,20,Male,12,93,86,Japan,2017
Student_566,26,Female,85,14,54,Canada,2023
Student_567,24,Female,18,90,81,Canada,2019
Student_568,21,Female,33,34,25,Japan,2023
Student_569,27,Male,77,32,5,Canada,2021
Student_570,22,Male,67,83,3,USA,2021
Student_571,19,Male,51,15,28,Japan,2020
Student_572,28,Male,26,33,58,USA,2016
Student_573,25,Female,28,65,97,USA,2023
Student_574,21,Male,27,98,16,UK,2020
Student_575,26,Male,34,39,42,Japan,2022
Student_576,22,Female,7,27,79,Canada,2015
Student_577,26,Male,15,46,65,USA,2019
Student_578,21,Female,35,38,33,UK,2015
Student_579,27,Female,29,69,7,Japan,2024
Student_580,22,Female,17,72,12,Japan,2022
Student_581,26,Female,1,19,7,India,2022
Student_582,25,Female,48,0,93,India,2015
Student_583,20,Female,76,71,95,USA,2023
Student_584,18,Female,3,86,99,India,2016
Student_585,20,Female,89,62,93,USA,2023
Student_586,21,Male,88,66,64,Canada,2015
Student_587,19,Male,93,3,42,USA,2024
Student_588,18,Male,74,57,38,India,2023
Student_589,24,Male,6,24,80,Canada,2018
Student_590,25,Female,94,46,58,India,2023
Student_591,24,Male,73,37,83,USA,2021
Student_592,22,Female,38,14,87,UK,2020
Student_593,29,Male,12,62,85,Japan,2019
Student_594,18,Male,30,20,92,India,2023
Student_595,24,Male,70,98,85,USA,2016
Student_596,24,Female,62,56,43,Canada,2016
Student_597,26,Male,55,52,8,India,2023
Student_598,20,Female,41,45,36,India,2017
Student_599,26,Female,60,13,73,Japan,2022
Student_600,18,Male,41,99,35,USA,2023
Student_601,18,Male,55,75,91,UK,2022
Student_602,21,Male,35,16,27,Canada,2018
Student_603,26,Female,83,38,41,USA,2015
Student_604,23,Male,67,8,42,Canada,2018
Student_605,28,Female,6,98,84,India,2023
Student_606,20,Female,53,76,87,Japan,2016
Student_607,18,Male,0,78,41,Japan,2017
Student_608,21,Male,43,81,65,UK,2024
Student_609,29,Female,44,96,54,Japan,2022
Student_610,26,Female,46,5,71,India,2020
Student_611,20,Female,12,90,47,UK,2022
Student_612,29,Male,21,22,90,USA,2021
Student_613,26,Female,20,58,21,Japan,2019
Student_614,24,Male,85,90,26,UK,2023
Student_615,29,Female,91,97,92,India,2018
Student_616,21,Female,8,45,66,Canada,2020
Student_617,20,Male,25,37,12,Canada,2016
Student_618,27,Female,8,13,44,India,2016
Student_619,22,Male,14,99,9,India,2016
Student_620,22,Male,9,71,99,Canada,2024
Student_621,20,Female,87,61,8,UK,2021
Student_622,29,Male,41,34,53,Canada,2016
Student_623,26,Male,71,18,26,India,2016
Student_624,21,Female,23,29,33,Japan,2023
Student_625,28,Male,79,77,0,USA,2021
Student_626,22,Male,48,83,31,Japan,2017
Student_627,21,Male,25,24,88,Japan,2017
Student_628,22,Female,90,39,92,India,2021
